施設名,カテゴリ,都道府県,市区町村,最寄駅,対象年齢,予算,屋内外,URL
京都市動物園,動物園,京都府,京都市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-81tu
京都水族館,水族館,京都府,京都市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-pwa7
京都鉄道博物館,博物館・科学館,京都府,京都市,,2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-v9ua
京都府立 丹波自然運動公園,公園,京都府,京丹波町,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-rzlw
京都府立植物園,公園,京都府,京都市左京区,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-zv9z
梅小路公園,公園,京都府,京都市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-slkw
宝が池公園 子どもの楽園,公園,京都府,京都市左京区,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-bqrg
The Kids 熊本店,屋内施設,熊本県,熊本市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/The-Kids-qg6u
あそ☆ビバ,公園,熊本県,阿蘇市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-hk0r
キッズユーエスランド 熊本八代店,屋内施設,熊本県,八代市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-9p34
ユウベルキッズランド熊本店,屋内施設,熊本県,熊本市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-yfxx
阿蘇 元気の森,公園,熊本県,阿蘇市,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-9ouv
阿蘇カドリー・ドミニオン,動物園,熊本県,阿蘇市,,2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-b0me
阿蘇ファームランド,遊園地,熊本県,阿蘇郡南阿蘇村,,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-qavf
岡岳公園,公園,熊本県,熊本市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-w4jh
熊本市動植物園,動物園,熊本県,熊本市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-xeo4
坪井川公園（ひごっこジャングル）,公園,熊本県,熊本市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-1gp1
福連木子守唄公園,公園,熊本県,天草市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-a2x1
竜北公園,公園,熊本県,氷川町,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-t8m2
ぐんまこどもの国,公園,群馬県,太田市,,2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-x33s
ぐんまこどもの国児童会館,屋内施設,群馬県,太田市,,0-1/2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-vrqj
こんにゃくパーク,博物館・科学館,群馬県,甘楽町,,2-3/4-6,無料,屋内,https://kyounoko.jp/spot/-8jhu
フレーベル館 Kinder Platz ガーデン前橋店,屋内施設,群馬県,前橋市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/Kinder-Platz-ysfc
伊香保おもちゃと人形 自動車博物館,博物館・科学館,群馬県,渋川市,,2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-dete
伊香保グリーン牧場,牧場,群馬県,渋川市,,0-1/2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-d8fs
華蔵寺公園,公園,群馬県,伊勢崎市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-9hje
群馬サファリパーク,動物園,群馬県,富岡市,,2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-l338
群馬県立 ぐんま昆虫の森,博物館・科学館,群馬県,桐生市,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-9cgq
神津牧場,牧場,群馬県,下仁田町,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-pjwg
前橋市中央児童遊園 るなぱあく,遊園地,群馬県,前橋市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-hl0f
草津温泉 湯畑周辺,季節体験,群馬県,草津町,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-4ulq
富岡製糸場,博物館・科学館,群馬県,富岡市,,4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-d6el
さとうみ科学館,博物館・科学館,広島県,江田島市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-tqn8
ヌマジ交通ミュージアム,博物館・科学館,広島県,広島市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-l34t
ピュアハートキッズランド広島府中,屋内施設,広島県,安芸郡府中町,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-pcg8
マリホ水族館,水族館,広島県,広島市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-ts1v
みやじマリン 宮島水族館,水族館,広島県,廿日市市,,0-1/2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-rs53
みろくの里,遊園地,広島県,福山市,,2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-pv1r
安佐動物公園,動物園,広島県,広島市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-dybe
広島市こども文化科学館,博物館・科学館,広島県,広島市,,2-3/4-6,無料,屋内,https://kyounoko.jp/spot/-0jhk
広島市安佐動物公園,動物園,広島県,広島市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-pkun
広島市森林公園こんちゅう館,博物館・科学館,広島県,広島市,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-ojgl
湯本豪一記念日本妖怪博物館 三次もののけミュージアム,博物館・科学館,広島県,三次市,,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-8ojr
備北丘陵公園,公園,広島県,庄原市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-tgo2
福山市立動物園,動物園,広島県,福山市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-9dtx
BOAT KIDS PARK Mooovi まるがめ,屋内施設,香川県,丸亀市,,0-1/2-3/4-6,無料,屋内,https://kyounoko.jp/spot/BOAT-KIDS-PARK-Mooovi-bht6
NEWレオマワールド,遊園地,香川県,丸亀市,,2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/NEW-njn9
さぬきこどもの国,公園,香川県,高松市,,0-1/2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-00g7
しろとり動物園,動物園,香川県,東かがわ市,,2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-hswd
亀鶴公園,公園,香川県,さぬき市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-h26s
香川県立ミュージアム,博物館・科学館,香川県,高松市,,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-5lr9
高松市こども未来館,博物館・科学館,香川県,高松市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-76h1
国営讃岐まんのう公園,公園,香川県,仲多度郡まんのう町,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-uyx5
沙弥島,公園,香川県,坂出市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-3uei
讃岐おもちゃ美術館,屋内施設,香川県,高松市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-mopy
四国水族館,水族館,香川県,宇多津町,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-tsrf
のいち動物公園,動物園,高知県,香南市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-wmsv
わんぱーくこうち,動物園,高知県,高知市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-y2ar
桂浜水族館,水族館,高知県,高知市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-j0b4
月見山こどもの森,公園,高知県,芸西村,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-ljmw
香美市立やなせたかし記念館 アンパンマンミュージアム,博物館・科学館,高知県,香美市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-zlxa
高知みらい科学館,博物館・科学館,高知県,高知市,,2-3/4-6,無料,屋内,https://kyounoko.jp/spot/-187v
高知県立牧野植物園,公園,高知県,高知市,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-78e8
佐川おもちゃ美術館,屋内施設,高知県,高岡郡佐川町,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-7ej3
秦山公園,公園,高知県,香南市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-6bl7
創造広場アクトランド,博物館・科学館,高知県,香南市,,2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-nvhg
比島交通公園,公園,高知県,高知市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-wxgt
BOAT KIDS PARK Moooviからつ,屋内施設,佐賀県,唐津市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/BOAT-KIDS-PARK-Mooovi-8wst
あそびパーク モラージュ佐賀店,屋内施設,佐賀県,佐賀市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-t8xn
キッズユーエスランド 佐賀大和店,屋内施設,佐賀県,佐賀市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-nl28
メリッタKid's TAKEO,屋内施設,佐賀県,武雄市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/Kid's-TAKEO-uipj
吉野ヶ里歴史公園,公園,佐賀県,神埼市,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-d7tx
佐賀県立宇宙科学館,博物館・科学館,佐賀県,武雄市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-ho86
佐賀県立宇宙科学館「ゆめぎんが」,博物館・科学館,佐賀県,武雄市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-3ert
森とリスの遊園地 メルヘン村,遊園地,佐賀県,武雄市,,0-1/2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-ww0b
神野公園こども遊園地,遊園地,佐賀県,佐賀市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-rox0
道の駅うれしの まるく,公園,佐賀県,嬉野市,,0-1/2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-vx4a
NACK5スタジアム大宮・大宮公園,公園,埼玉県,さいたま市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/NACK5-uby5
コクーンシティ（さいたま新都心）,屋内施設,埼玉県,さいたま市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-k5af
トーベ・ヤンソンあけぼの子どもの森公園,公園,埼玉県,飯能市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-tbkb
ムーミンバレーパーク,遊園地,埼玉県,飯能市,,2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-kses
むさしの村,遊園地,埼玉県,加須市,,0-1/2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-kbr7
ららぽーと富士見,屋内施設,埼玉県,富士見市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-dz3l
埼玉県こども動物自然公園,動物園,埼玉県,東松山市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-vinb
所沢航空記念公園 むさしの川,公園,埼玉県,所沢市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-sv6y
所沢航空発祥記念館,博物館・科学館,埼玉県,所沢市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-mgtu
水とやすらぎの広場（大宮配水場内）,公園,埼玉県,さいたま市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-4oa1
川越まつり会館＆菓子屋横丁,季節体験,埼玉県,川越市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-aual
川越鉄道公園 西武園ゆうえんち,遊園地,埼玉県,所沢市,,2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-v93h
大宮花の丘農林公苑 親水広場,公園,埼玉県,さいたま市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-vzw5
鉄道博物館,博物館・科学館,埼玉県,さいたま市,,2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-qgf2
東武動物公園,動物園,埼玉県,宮代町,,2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-fkqw
武蔵丘陵森林公園,公園,埼玉県,滑川町,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-kfbn
おやつタウン,遊園地,三重県,津市,,2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-0z6s
そらんぽ四日市（四日市市立博物館・プラネタリウム）,博物館・科学館,三重県,四日市市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-nz9l
ナガシマスパーランド,遊園地,三重県,桑名市,,2-3/4-6,3000円〜,屋外,https://kyounoko.jp/spot/-bvsv
