id,kencode,kenname,cityname,name,address,tel,cond_morning,cond_kidsmenu,cond_parking,url,notice,mon_start,mon_end,tue_start,tue_end,wed_start,wed_end,thu_start,thu_end,fri_start,fri_end,sat_start,sat_end,sun_start,sun_end
1752,09,栃木県,栃木市,やよい軒 栃木バイパス店,栃木県栃木市平柳町三丁目２７－３０,0282-29-1035,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1752/,※当店では22時から翌5時の間、『定食・丼・麺・おうち定食(テイクアウト)』に深夜料金50円を加算させていただいております。（一部のメニューは深夜料金対象外）<br />※ラストオーダーは閉店時間の30分前です。,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400
1770,09,栃木県,宇都宮市,やよい軒 宇都宮御幸本町店,栃木県宇都宮市御幸本町４８６４－２５,028-613-3075,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1770/,※ラストオーダーは閉店時間の30分前です。,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400
1904,09,栃木県,鹿沼市,やよい軒 鹿沼店,栃木県鹿沼市栄町１－３４－３８,0289-60-5518,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1904/,※ラストオーダーは閉店時間の30分前です。,600,2400,600,2400,600,2400,600,2400,600,2400,600,2400,600,2400
1947,09,栃木県,宇都宮市,やよい軒 宇都宮鶴田町店,栃木県宇都宮市鶴田町１１７０－２,028-649-2800,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1947/,※当店では22時から翌5時の間、『定食・丼・麺・おうち定食(テイクアウト)』に深夜料金50円を加算させていただいております。（一部のメニューは深夜料金対象外）<br />※ラストオーダーは閉店時間の45分前です。,1000,2330,1000,2330,1000,2330,1000,2330,1000,2330,1000,2330,1000,2330
2127,09,栃木県,宇都宮市,やよい軒 宇都宮大曽店,栃木県宇都宮市大曽２丁目９－１,028-650-4241,1,1,1,https://store.yayoiken.com/b/yayoiken/info/2127/,※ラストオーダーは閉店時間の30分前です。<br />※祝日は、土曜・日曜と同じ営業時間になります。,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,700,2300,700,2300
2149,09,栃木県,小山市,やよい軒 小山東城南店,栃木県小山市東城南一丁目１－３５,0285-31-3151,1,1,1,https://store.yayoiken.com/b/yayoiken/info/2149/,※当店では22時から翌5時の間、『定食・丼・麺・おうち定食(テイクアウト)』に深夜料金50円を加算させていただいております。（一部のメニューは深夜料金対象外）<br />※ラストオーダーは閉店時間の30分前です。<br />※祝日は、土曜・日曜と同じ営業時間になります。,900,2400,900,2400,900,2400,900,2400,900,2400,700,2400,700,2400
1281,10,群馬県,伊勢崎市,やよい軒 伊勢崎宮子町店,群馬県伊勢崎市宮子町３４３１－３,0270-20-1167,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1281/,※ラストオーダーは閉店時間の30分前です。,900,2400,900,2400,900,2400,900,2400,900,2400,700,2400,700,2400
1287,10,群馬県,太田市,やよい軒 太田西矢島店,群馬県太田市西矢島町５７３－１,0276-60-1321,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1287/,※当店では22時から翌5時の間、『定食・丼・麺・おうち定食(テイクアウト)』に深夜料金50円を加算させていただいております。（一部のメニューは深夜料金対象外）<br />※ラストオーダーは閉店時間の30分前です。,900,400,900,400,900,400,900,400,900,400,700,400,700,400
1773,10,群馬県,館林市,やよい軒 館林緑町店,群馬県館林市緑町２丁目４－４,0276-76-7009,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1773/,※ラストオーダーは閉店時間の30分前です。<br />※祝日は、土曜・日曜と同じ営業時間になります。,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,700,2300,700,2300
2116,10,群馬県,前橋市,やよい軒 前橋大友町店,群馬県前橋市大友町１丁目７番８,027-256-9356,1,1,1,https://store.yayoiken.com/b/yayoiken/info/2116/,※ラストオーダーは閉店時間の30分前です。,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,700,2300,700,2300
1090,11,埼玉県,さいたま市岩槻区,やよい軒 岩槻南平野店,埼玉県さいたま市岩槻区南平野３－３３－３,048-790-0026,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1090/,※ラストオーダーは閉店時間の30分前です。<br />※祝日は、土曜・日曜と同じ営業時間になります。,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,900,2400,900,2400
1268,11,埼玉県,鴻巣市,やよい軒 吹上鎌塚店,埼玉県鴻巣市鎌塚１－１１－５,048-547-1722,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1268/,※当店では22時から翌5時の間、『定食・丼・麺・おうち定食(テイクアウト)』に深夜料金50円を加算させていただいております。（一部のメニューは深夜料金対象外）<br />※ラストオーダーは閉店時間の30分前です。<br />※祝日は、土曜・日曜と同じ営業時間になります。,900,2400,900,2400,900,2400,900,2400,900,2400,700,2400,700,2400
1346,11,埼玉県,久喜市,やよい軒 久喜店,埼玉県久喜市久喜本７９１－１,0480-26-6177,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1346/,※当店では22時から翌5時の間、『定食・丼・麺・おうち定食(テイクアウト)』に深夜料金50円を加算させていただいております。（一部のメニューは深夜料金対象外）<br />※ラストオーダーは閉店時間の30分前です。,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,700,2400,700,2400
1698,11,埼玉県,熊谷市,やよい軒 熊谷籠原店,埼玉県熊谷市新堀３４７－３,048-530-0045,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1698/,※ラストオーダーは閉店時間の30分前です。,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300
1902,11,埼玉県,所沢市,やよい軒 所沢日吉町店,埼玉県所沢市日吉町１５－１２,04-2940-0707,1,1,,https://store.yayoiken.com/b/yayoiken/info/1902/,※ラストオーダーは閉店時間の30分前です。,700,2300,700,2300,700,2300,700,2300,700,2300,700,2300,700,2300
1983,11,埼玉県,川口市,やよい軒 川口店,埼玉県川口市栄町３－１２－６ 川口ビル１Ｆ,048-255-9161,1,1,,https://store.yayoiken.com/b/yayoiken/info/1983/,※当店では22時から翌5時の間、『定食・丼・麺・おうち定食(テイクアウト)』に深夜料金50円を加算させていただいております。（一部のメニューは深夜料金対象外）<br />※ラストオーダーは閉店時間の30分前です。,900,2400,900,2400,900,2400,900,2400,900,2400,900,2400,900,2400
2021,11,埼玉県,春日部市,やよい軒 春日部小渕店,埼玉県春日部市小渕２４３－１,048-760-0043,1,1,1,https://store.yayoiken.com/b/yayoiken/info/2021/,※当店では22時から翌5時の間、『定食・丼・麺・おうち定食(テイクアウト)』に深夜料金50円を加算させていただいております。（一部のメニューは深夜料金対象外）<br />※ラストオーダーは閉店時間の30分前です。<br />※祝日は、土曜・日曜と同じ営業時間になります。,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,900,2400,900,2400
2038,11,埼玉県,川越市,やよい軒 川越西口店,埼玉県川越市脇田本町１６－２０,049-291-5377,1,1,,https://store.yayoiken.com/b/yayoiken/info/2038/,※当店では22時から翌5時の間、『定食・丼・麺・おうち定食(テイクアウト)』に深夜料金50円を加算させていただいております。（一部のメニューは深夜料金対象外）<br />※ラストオーダーは閉店時間の30分前です。,900,2330,900,2330,900,2330,900,2330,900,2330,900,2330,900,2330
2057,11,埼玉県,本庄市,やよい軒 ベスタ本庄寿店,埼玉県本庄市寿３丁目５番地１４号,0495-27-8484,1,1,1,https://store.yayoiken.com/b/yayoiken/info/2057/,※ラストオーダーは閉店時間の30分前です。,900,2315,900,2315,900,2315,900,2315,900,2315,900,2315,900,2315
2115,11,埼玉県,狭山市,やよい軒 ベスタ狭山店,埼玉県狭山市入間川１１５８,04-2999-3550,1,1,1,https://store.yayoiken.com/b/yayoiken/info/2115/,※ラストオーダーは閉店時間の30分前です。<br />※祝日は、土曜・日曜と同じ営業時間になります。,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,700,2300,700,2300
2165,11,埼玉県,さいたま市大宮区,やよい軒 大宮大栄橋店,埼玉県さいたま市大宮区宮町３－１－７ 宮町ＨＳビル１Ｆ,048-650-8155,1,1,,https://store.yayoiken.com/b/yayoiken/info/2165/,※ラストオーダーは閉店時間の30分前です。,900,2300,900,2300,900,2300,900,2300,900,2300,900,2300,900,2300
1049,12,千葉県,船橋市,やよい軒 船橋店,千葉県船橋市本町３－２－１,047-460-1811,1,1,,https://store.yayoiken.com/b/yayoiken/info/1049/,※ラストオーダーは閉店時間の30分前です。<br />※他の店舗とメニューが異なります。,700,2315,700,2315,700,2315,700,2315,700,2315,700,2315,700,2315
1274,12,千葉県,市川市,やよい軒 本八幡店,千葉県市川市南八幡５－１－３,080-4094-2475,1,,,https://store.yayoiken.com/b/yayoiken/info/1274/,※ラストオーダーは閉店時間の30分前です。<br />※祝日は、土曜・日曜と同じ営業時間になります。,1000,2330,1000,2330,1000,2330,1000,2330,1000,2330,1000,2330,1000,2330
1278,12,千葉県,市川市,やよい軒 南行徳店,千葉県市川市相之川４－１８－１,047-390-4581,1,1,,https://store.yayoiken.com/b/yayoiken/info/1278/,※ラストオーダーは閉店時間の30分前です。,700,2400,700,2400,700,2400,700,2400,700,2400,700,2400,700,2400
1380,12,千葉県,千葉市稲毛区,やよい軒 稲毛山王店,千葉県千葉市稲毛区山王町３０７－１,043-304-2644,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1380/,※ラストオーダーは閉店時間の30分前です。<br />※祝日は、土曜日曜と同じ営業時間です。,900,2330,900,2330,900,2330,900,2330,900,2330,700,2330,700,2330
1390,12,千葉県,東金市,やよい軒 東金田間店,千葉県東金市田間字村上１２６４,0475-50-6087,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1390/,※ラストオーダーは閉店時間の30分前です。,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,900,2400,900,2400
1424,12,千葉県,千葉市中央区,やよい軒 ライフガーデン仁戸名店,千葉県千葉市中央区仁戸名町６９８－１１,043-305-0203,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1424/,※ラストオーダーは閉店時間の30分前です。<br />※祝日は、土曜・日曜と同じ営業時間になります。,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,800,2400,800,2400
1491,12,千葉県,柏市,やよい軒 柏増尾台店,千葉県柏市増尾台４－１３－７,04-7170-8032,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1491/,※ラストオーダーは閉店時間の30分前です。<br />※祝日は、土曜・日曜と同じ営業時間になります。,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,700,2400,700,2400
1759,12,千葉県,松戸市,やよい軒 松戸本町店,千葉県松戸市本町１７－７ 松葉ビル１Ｆ,047-308-6131,1,,,https://store.yayoiken.com/b/yayoiken/info/1759/,※ラストオーダーは閉店時間の30分前です。,800,2400,800,2400,800,2400,800,2400,800,2400,800,2400,800,2400
1769,12,千葉県,市川市,やよい軒 行徳店,千葉県市川市行徳駅前２丁目１６－４ 松丸ビル１Ｆ,047-390-1181,1,,,https://store.yayoiken.com/b/yayoiken/info/1769/,※ラストオーダーは閉店時間の30分前です。,600,130,600,130,600,130,600,130,600,130,600,130,600,130
1878,12,千葉県,富里市,やよい軒 富里店,千葉県富里市七栄５２５－２４,0476-90-2002,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1878/,※ラストオーダーは閉店時間の30分前です。,900,2400,900,2400,900,2400,900,2400,900,2400,900,2400,900,2400
1998,12,千葉県,千葉市中央区,やよい軒 千葉シーワン店,千葉県千葉市中央区富士見２丁目２４－１ ショッピングセンタ―内,043-201-0238,1,,,https://store.yayoiken.com/b/yayoiken/info/1998/,※ラストオーダーは閉店時間の30分前です。,700,2300,700,2300,700,2300,700,2300,700,2300,700,2300,700,2300
2046,12,千葉県,成田市,やよい軒 成田美郷台店,千葉県成田市美郷台１－１９－１１,0476-24-8755,1,1,1,https://store.yayoiken.com/b/yayoiken/info/2046/,※ラストオーダーは閉店時間の30分前です。,900,2400,900,2400,900,2400,900,2400,900,2400,900,2400,900,2400
2047,12,千葉県,佐倉市,やよい軒 佐倉寺崎店,千葉県佐倉市寺崎北三丁目８番地９,043-481-3330,1,1,1,https://store.yayoiken.com/b/yayoiken/info/2047/,※ラストオーダーは閉店時間の30分前です。<br />※祝日は、土曜・日曜と同じ営業時間になります。,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,800,2400,800,2400
2063,12,千葉県,野田市,やよい軒 野田船形店,千葉県野田市泉１－１－１,080-4089-7609,1,1,1,https://store.yayoiken.com/b/yayoiken/info/2063/,※ラストオーダーは閉店時間の30分前です。<br />※祝日は、土曜・日曜と同じ営業時間になります。,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,900,2400,900,2400
2132,12,千葉県,船橋市,やよい軒 西船橋店,千葉県船橋市印内町６０３－１,047-431-2066,1,,,https://store.yayoiken.com/b/yayoiken/info/2132/,※ラストオーダーは閉店時間の30分前です。,700,2330,700,2330,700,2330,700,2330,700,2330,700,2330,700,2330
1028,13,東京都,新宿区,やよい軒 新宿明治通り店,東京都新宿区歌舞伎町２丁目２－２０ グランドメゾン歌舞伎町ビル１Ｆ,03-5291-5597,1,,,https://store.yayoiken.com/b/yayoiken/info/1028/,※ラストオーダーは閉店時間の30分前です。,800,2300,800,2300,800,2300,800,2300,800,2300,800,2300,800,2300
1048,13,東京都,千代田区,やよい軒 神田北口店,東京都千代田区神田須田町１丁目２６ ラシーヌ神田ビル,03-3526-5625,1,,,https://store.yayoiken.com/b/yayoiken/info/1048/,※当店では22時から翌5時の間、『定食・丼・麺・おうち定食(テイクアウト)』に深夜料金50円を加算させていただいております。（一部のメニューは深夜料金対象外）<br />※当店ではアルコール飲料の販売をしておりません。<br />※ラストオーダーは閉店時間の30分前です。,800,2300,800,2300,800,2300,800,2300,800,2300,800,2300,800,2300
1070,13,東京都,新宿区,やよい軒 新宿百人町店,東京都新宿区百人町２丁目１１－３,03-5338-3062,1,,,https://store.yayoiken.com/b/yayoiken/info/1070/,※ラストオーダーは閉店時間の30分前です。<br />,500,300,500,300,500,300,500,300,500,300,500,300,500,300
1072,13,東京都,新宿区,やよい軒 新宿御苑店,東京都新宿区新宿１丁目３４－８ 近代グループBLG.１５ 1F,03-5367-8737,1,,,https://store.yayoiken.com/b/yayoiken/info/1072/,※ラストオーダーは閉店時間の30分前です。,800,2300,800,2300,800,2300,800,2300,800,2300,800,2300,800,2300
1146,13,東京都,新宿区,やよい軒 高田馬場店,東京都新宿区高田馬場３丁目３－２ 高田馬場MFビル１Ｆ,03-5338-2781,1,,,https://store.yayoiken.com/b/yayoiken/info/1146/,※ラストオーダーは閉店時間の30分前です。,500,300,500,300,500,300,500,300,500,300,500,300,500,300
1165,13,東京都,墨田区,やよい軒 錦糸町北口店,東京都墨田区錦糸１－５－１７ メゾンドール錦糸町１Ｆ,03-5819-3841,1,,,https://store.yayoiken.com/b/yayoiken/info/1165/,※ラストオーダーは閉店時間の30分前です。,800,2300,800,2300,800,2300,800,2300,800,2300,800,2300,800,2300
1174,13,東京都,杉並区,やよい軒 高円寺店,東京都杉並区高円寺南４－５０－１,03-5327-4591,1,,,https://store.yayoiken.com/b/yayoiken/info/1174/,※ラストオーダーは閉店時間の30分前です。,700,2300,700,2300,700,2300,700,2300,700,2300,700,2300,700,2300
1208,13,東京都,葛飾区,やよい軒 新小岩南口店,東京都葛飾区新小岩１丁目４４－２,03-5661-3117,1,,,https://store.yayoiken.com/b/yayoiken/info/1208/,※ラストオーダーは閉店時間の30分前です。,500,300,500,300,500,300,500,300,500,300,500,300,500,300
1210,13,東京都,新宿区,やよい軒 四谷２丁目店,東京都新宿区四谷２－１０－５ 八ツ橋ビル１Ｆ,03-5368-6486,1,1,,https://store.yayoiken.com/b/yayoiken/info/1210/,※ラストオーダーは閉店時間の30分前です。,700,2300,700,2300,700,2300,700,2300,700,2300,700,2300,700,2300
1212,13,東京都,世田谷区,やよい軒 三軒茶屋店,東京都世田谷区太子堂４丁目２２－１４ 香田ビル１Ｆ,03-3418-3046,1,,,https://store.yayoiken.com/b/yayoiken/info/1212/,※店舗メンテナンス等で閉店する場合、閉店時間の30分前がラストオーダーです。,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400
1218,13,東京都,千代田区,やよい軒 水道橋白山通り店,東京都千代田区西神田２丁目１－１２ 景雲ビル１F,03-5215-2031,1,,,https://store.yayoiken.com/b/yayoiken/info/1218/,※ラストオーダーは閉店時間の30分前です。,700,2300,700,2300,700,2300,700,2300,700,2300,700,2300,700,2300
1228,13,東京都,豊島区,やよい軒 池袋劇場通り店,東京都豊島区池袋２丁目４２－６ 倉田ビル,03-5960-3851,1,,,https://store.yayoiken.com/b/yayoiken/info/1228/,※ラストオーダーは閉店時間の30分前です。,800,2300,800,2300,800,2300,800,2300,800,2300,800,2300,800,2300
1284,13,東京都,江東区,やよい軒 木場店,東京都江東区木場５丁目２－３,03-5621-8755,1,,,https://store.yayoiken.com/b/yayoiken/info/1284/,※ラストオーダーは閉店時間の30分前です。,800,2300,800,2300,800,2300,800,2300,800,2300,800,2300,800,2300
1309,13,東京都,中野区,やよい軒 中野北口店,東京都中野区中野４－４－１１,03-5343-7118,1,1,,https://store.yayoiken.com/b/yayoiken/info/1309/,※当店では22時から翌5時の間、『定食・丼・麺・おうち定食(テイクアウト)』に深夜料金50円を加算させていただいております。（一部のメニューは深夜料金対象外）<br />※ラストオーダーは閉店時間の30分前です。,500,300,500,300,500,300,500,300,500,300,500,300,500,300
1323,13,東京都,新宿区,やよい軒 新宿小滝橋通り店,東京都新宿区西新宿７－７－３３,03-5332-5343,1,,,https://store.yayoiken.com/b/yayoiken/info/1323/,※ラストオーダーは閉店時間の30分前です。,700,2300,700,2300,700,2300,700,2300,700,2300,700,2300,700,2300
1329,13,東京都,文京区,やよい軒 白山店,東京都文京区白山５丁目２９－６,03-5940-7776,1,1,,https://store.yayoiken.com/b/yayoiken/info/1329/,※ラストオーダーは閉店時間の30分前です。,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300
1335,13,東京都,大田区,やよい軒 蒲田店,東京都大田区蒲田５－２８－１８,03-6424-3109,1,,,https://store.yayoiken.com/b/yayoiken/info/1335/,※ラストオーダーは閉店時間の30分前です。,700,2300,700,2300,700,2300,700,2300,700,2300,700,2300,700,2300
1354,13,東京都,八王子市,やよい軒 八王子店,東京都八王子市中町４－１２ クレインビル,042-631-3370,1,1,,https://store.yayoiken.com/b/yayoiken/info/1354/,※ラストオーダーは閉店時間の30分前です。,700,2300,700,2300,700,2300,700,2300,700,2300,700,2300,700,2300
1415,13,東京都,世田谷区,やよい軒 駒沢店,東京都世田谷区駒沢１－１６－７,03-5431-5131,1,1,,https://store.yayoiken.com/b/yayoiken/info/1415/,※ラストオーダーは閉店時間の30分前です。,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400
1421,13,東京都,渋谷区,やよい軒 青山学院大学前店,東京都渋谷区神宮前５丁目５２－２ Ｂ１Ｆ,03-6418-2245,1,,,https://store.yayoiken.com/b/yayoiken/info/1421/,※ラストオーダーは閉店時間の30分前です。,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300
1476,13,東京都,東村山市,やよい軒 秋津店,東京都東村山市秋津町５－６－５ クロスコート秋津１Ｆ,042-398-8766,1,1,,https://store.yayoiken.com/b/yayoiken/info/1476/,※ラストオーダーは閉店時間の30分前です。,700,2300,700,2300,700,2300,700,2300,700,2300,700,2300,700,2300
1702,13,東京都,新宿区,やよい軒 馬場口店,東京都新宿区高田馬場２丁目２－３,03-5291-5028,1,,,https://store.yayoiken.com/b/yayoiken/info/1702/,※ラストオーダーは閉店時間の30分前です。,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300
1748,13,東京都,江東区,やよい軒 亀戸北口店,東京都江東区亀戸２－２７－１３ 山内ビル１Ｆ,03-5628-1021,1,,,https://store.yayoiken.com/b/yayoiken/info/1748/,※ラストオーダーは閉店時間の30分前です。,700,2300,700,2300,700,2300,700,2300,700,2300,700,2300,700,2300
