slug,tier,noindex,flags,dokuji_line,wagaya_line
kodomo-asaokinai,P0,false,"AGE_CONTRADICTION",,102
kodomo-byoki-meneki-real-data-2026,P2,false,"FAKE_PANEL",234,
kodomo-disney-itsukara,P0,false,"UNVERIFIED_TRIP",,134
kodomo-eigakan-itsukara,P3,true,"UNVERIFIED_TRIP",,159
kodomo-hikouki-itsukara,P3,true,"UNVERIFIED_TRIP",,109
kodomo-hitori-asobi-anzen-kankyou,P3,true,"DOKUJI_UNSOURCED",140,
kodomo-hitori-de-taberareru-5,P3,false,"DOKUJI_UNSOURCED",264,
kodomo-ichirinsha-itsukara,P0,false,"AGE_CONTRADICTION",,168
kodomo-kaigai-ryoko-itsukara,P3,true,"UNVERIFIED_TRIP",,154
kodomo-kaigai-ryokou-itsukara,P0,false,"UNVERIFIED_TRIP",,116
kodomo-kokunai-ryoko-itsukara,P3,true,"UNVERIFIED_TRIP",,147
kodomo-mushiyoke-erabikata-2026,P2,false,"FAKE_PANEL",106,
kodomo-no-kaze-hatsunetsu-taiou,P3,true,"FAKE_PANEL",170,
kodomo-okashi-tezukuri-natsu-5,P2,false,"FAKE_PANEL",194,
kodomo-okiniiri-spot-mama-50-shounin,P3,false,"DOKUJI_UNSOURCED",292,
kodomo-pool-keiken-debut,P2,false,"FAKE_PANEL",201,
kodomo-rusuban-kowagaru,P0,false,"UNVERIFIED_TRIP",,124
kodomo-shampoo-hikaku,P3,true,"FAKE_PANEL",233,
kodomo-shigaisen-taisaku-2026,P2,false,"FAKE_PANEL",128,
kodomo-shindansho-arerugi-taisaku,P3,true,"FAKE_PANEL",110,
kodomo-shinkansen-itsukara,P0,false,"UNVERIFIED_TRIP",,122
kodomo-suki-suki-oya-jiko-kouka,P3,true,"FAKE_PANEL",385,
kodomo-summer-camp-erabikata,P2,false,"FAKE_PANEL",210,
kodomo-tsume-kamu,P0,false,"AGE_CONTRADICTION",,105
kodomo-tsuyu-shokuyoku-fushin-recipe,P2,false,"FAKE_PANEL",133,
kodomo-yukata-kitsuke-jitan,P2,false,"FAKE_PANEL",158,
kodomo-yuuenchi-itsukara,P0,false,"UNVERIFIED_TRIP",,126
kodomogutsu-15cm-osusume-8sen-2026,P3,false,"DOKUJI_UNSOURCED",188,
kodomogutsu-erabikata-kanzen-guide-2026,P3,false,"DOKUJI_UNSOURCED",209,
kodzure-deli-takeout-10,P1,false,"FAKE_FIELDWORK",437,
kodzure-famires-15sen,P1,false,"FAKE_FIELDWORK",297,
kodzure-fukuro-mall-restaurants,P3,false,"DOKUJI_UNSOURCED",411,
kodzure-morning-cafe-10,P1,false,"FAKE_FIELDWORK",357,
kodzure-saize-koryaku,P1,false,"FAKE_FIELDWORK",487,
kodzure-washoku-chain-10,P3,false,"DOKUJI_UNSOURCED",409,
kodzure-yakiniku-shabu-7,P3,false,"DOKUJI_UNSOURCED",429,
komeda-morning-kosodate,P0,false,"UNVERIFIED_TRIP",,89
koshitsu-kodzure-lunch,P1,false,"FAKE_FIELDWORK",395,
kosodate-amenohi-nagoya,P1,false,"FAKE_FIELDWORK",245,
kosodate-amenohi-yokohama,P1,false,"FAKE_FIELDWORK",244,
kosodate-kanto-shizen-10,P1,false,"FAKE_FIELDWORK",235,
kosodate-muryou-spots-osaka,P1,false,"FAKE_FIELDWORK",319,
kosodate-spots-hokkaido-natsu,P0,false,"FAKE_FIELDWORK;AGE_CONTRADICTION",298,
kosodate-subsc-3sha-hikaku,P3,true,"FAKE_PANEL",208,173
kosodate-tsukareta-jikan-no-tsukaikata-50,P2,false,"FAKE_PANEL",306,
kotoba-okureru-taiou-2sai,P3,true,"FAKE_PANEL",134,
kouen-debyu-nankagetsu,P2,false,"FAKE_PANEL",178,
kouen-tomodachi-chikadukenai,P3,true,"FAKE_PANEL",320,
kousaku-4-6sai-10pattern,P3,true,"FAKE_PANEL",363,
kumon-vs-gakken-hikaku,P3,true,"FAKE_PANEL",210,
kumon-vs-shichida-vs-monte-comparison,P2,false,"FAKE_PANEL",197,
kuura-bonyu-shokujimae-jiki,P2,false,"FAKE_PANEL",207,
kyoudai-asobi-nenrei-sa,P3,true,"FAKE_PANEL",347,
kyouzai-3sha-popi-challenge-smile-hikaku-2026,P3,false,"DOKUJI_UNSOURCED",159,
kyushoku-tabekirenai-katei-taisaku,P2,false,"FAKE_PANEL",327,
mama-tomo-ikanai-taiou,P2,false,"FAKE_PANEL",296,
mizuasobi-chiba,P0,false,"UNVERIFIED_TRIP",,85
mizuasobi-fukuoka,P0,false,"UNVERIFIED_TRIP",,85
mizuasobi-kobe,P0,false,"UNVERIFIED_TRIP",,85
mizuasobi-nagoya,P0,false,"UNVERIFIED_TRIP",,85
mizuasobi-osaka,P0,false,"UNVERIFIED_TRIP",,85
monte-asobi-nenrei-betsu,P3,true,"FAKE_PANEL",422,
mothers-day-tezukuri-kodomo-2026,P2,false,"FAKE_PANEL",122,
moushobi-suzushii-spots,P1,false,"FAKE_FIELDWORK",679,
mushikago-kodomo-kankatsu,P2,false,"FAKE_PANEL",173,
naraigoto-itsukara-0-6sai,P2,false,"FAKE_PANEL",176,
naraigoto-yametai-taiou,P3,true,"DOKUJI_UNSOURCED",234,
natsu-bento-itamanai-recipe-7,P2,false,"FAKE_PANEL",158,
natsu-yasumi-kodomo-asobi-ie-de,P2,false,"FAKE_PANEL",311,
natsu-yobi-kosodate-grandparent,P2,false,"FAKE_PANEL",195,
natsumatsuri-kodzure-koryaku-2026,P2,false,"FAKE_PANEL",131,
natsumatsuri-kodzure-koryaku,P3,true,"FAKE_PANEL",170,
natsuyasumi-jiyu-kenkyu-1nichi-10,P2,false,"FAKE_PANEL",107,
natsuyasumi-kakeibo-kodzure-shukatsu,P2,false,"FAKE_PANEL",205,
natsuyasumi-keikaku-2026-kodzure,P2,false,"FAKE_PANEL",167,
natsuyasumi-yotei-table-2026,P2,false,"FAKE_PANEL",108,
negaeri-shinai-itsumade-matsu,P3,true,"FAKE_PANEL",285,
nettyusho-yobou-0-6sai,P0,false,"FAKE_SUPERVISOR;FAKE_PANEL",197,
obake-yashiki-kodzure-tokyo,P2,false,"FAKE_PANEL",173,
obentou-jitan-8patterns,P2,false,"FAKE_PANEL",364,
obon-kisei-shintetsu-baby,P2,false,"FAKE_PANEL",136,
oboniito-asobi-kodomo-3sai,P3,true,"FAKE_PANEL",291,
ohanami-keikaku-junbi,P3,true,"FAKE_PANEL",207,
ohirune-nansai-made,P3,true,"FAKE_PANEL",335,
okashi-tezukuri-oyatsu-kodomo,P2,false,"FAKE_PANEL",311,
okinawa-akachan-tabi,P0,false,"UNVERIFIED_TRIP",,101
omocha-year-by-age,P3,true,"DOKUJI_UNSOURCED",326,68
orusu-ban-nansai-kara,P3,true,"FAKE_PANEL",160,
osechi-kodomo-kantan-menu,P2,false,"FAKE_PANEL",213,
oshiri-kodomo-shitsuke-alternatives,P3,true,"FAKE_PANEL",139,
oshogatsu-asobi-kodomo-2026,P3,true,"FAKE_PANEL",306,
oshougatsu-kodomo-sugoshikata,P3,true,"FAKE_PANEL",286,
otetsudai-itsukara-2sai,P2,false,"FAKE_PANEL",187,
otoshidama-souba-pochibukuro-tedukuri,P2,false,"FAKE_PANEL",199,
oyasumi-ato-oya-jikan,P3,true,"FAKE_PANEL",418,
piano-narai-before-5things,P3,true,"FAKE_PANEL",214,
picnic-takeout-chain-20,P1,false,"FAKE_FIELDWORK",316,
puuru-mizuasobi-debut,P2,false,"FAKE_PANEL",247,
rakuten-marathon-kosodate-10sen,P2,false,"FAKE_PANEL",236,
reitou-shokuhin-ranking,P2,false,"FAKE_PANEL",301,
reitougyoza-plus-alpha-3pattern,P2,false,"FAKE_PANEL",299,
rinyuu-youji-shoku-grid-rakuten,P3,false,"DOKUJI_UNSOURCED",300,
rinyuushoku-frozen-gekkabetsu,P2,false,"FAKE_PANEL",326,
rinyuushoku-mochikomi-chain-15,P1,false,"FAKE_FIELDWORK",313,
sakana-kodomo-tabete-kureru,P2,false,"FAKE_PANEL",273,
sakura-ohanami-kodzure-spots,P2,false,"FAKE_PANEL",189,
seal-book-ranking,P2,false,"FAKE_PANEL",226,
shichigosan-nenrei-junbi,P3,true,"FAKE_PANEL",283,
shitsunai-asobi-fukuoka,P0,false,"UNVERIFIED_TRIP",,89
shitsunai-asobi-nagoya,P0,false,"UNVERIFIED_TRIP",,89
shitsunai-asobi-osaka,P0,false,"UNVERIFIED_TRIP",,89
shizen-spot-tokyo-youji,P2,false,"FAKE_PANEL",378,
shokutaku-iyaiya-kodomo-taisaku,P2,false,"FAKE_PANEL",316,
shudan-koudou-nigate-3sai,P3,true,"FAKE_PANEL",322,
shumatsu-1nichi-mawashikata,P3,true,"FAKE_PANEL",365,
shumatsu-gohan-tsukurioki-nashi,P2,false,"FAKE_PANEL",239,
shussan-junbi-rakuten-0sai,P2,false,"FAKE_PANEL",278,
soccer-yakyu-3-6sai,P3,true,"FAKE_PANEL",197,
sozai-kodomo-daibutsu-yobou,P3,true,"FAKE_PANEL",358,
storo-nomu-itsukara,P2,false,"FAKE_PANEL",149,
sukikirai-yasai-taisaku,P2,false,"FAKE_PANEL",287,
swimming-nansai-kara,P3,true,"FAKE_PANEL",125,
taisou-kyoushitsu-2-5sai,P3,true,"FAKE_PANEL",215,
takuhai-shoku-5sha-hikaku-2026,P2,false,"FAKE_PANEL",140,
takushoku-service-hikaku-3sha,P3,true,"DOKUJI_UNSOURCED",183,
tanabata-kazari-sakusei,P3,true,"FAKE_PANEL",311,
tanabata-kazari-tedukuri-kodomo,P2,false,"FAKE_PANEL",295,
tetsubun-onigiri-2026,P3,true,"FAKE_PANEL",221,
toire-training-2-3sai,P3,true,"FAKE_PANEL",287,
tokyo-23ku-data-comparison-jiyugaoka-futako,P3,false,"DOKUJI_UNSOURCED",116,
tokyo-23ku-family-friendly-area-rankings-3,P3,false,"DOKUJI_UNSOURCED",223,
tokyo-23ku-family-score-ranking-2026,P3,false,"DOKUJI_UNSOURCED",105,
tokyo-bunkyo-baby-cafe,P2,false,"FAKE_PANEL",139,
tokyo-cheap-lunch-800-station-top,P3,false,"DOKUJI_UNSOURCED",113,
tokyo-ginza-kodzure-lunch,P3,false,"DOKUJI_UNSOURCED",267,
tokyo-hanabi-taikai-kodzure-2026,P2,false,"FAKE_PANEL",169,
tokyo-ikebukuro-kodzure-lunch,P3,false,"DOKUJI_UNSOURCED",270,
tokyo-kawaasobi-spots-10,P1,false,"FAKE_FIELDWORK",158,
tokyo-kichijoji-kodzure-lunch,P3,false,"DOKUJI_UNSOURCED",266,
tokyo-kodomo-mushiyoke-spot,P2,false,"FAKE_PANEL",204,
tokyo-koto-toyosu-kodzure,P3,false,"DOKUJI_UNSOURCED",139,
tokyo-line-family-friendly-ranking,P3,false,"DOKUJI_UNSOURCED",123,
tokyo-meguro-weekday-hidden,P2,false,"FAKE_PANEL",140,
tokyo-minato-roppongi-lunch,P3,false,"DOKUJI_UNSOURCED",137,
tokyo-nakano-amenohi-kodzure,P2,false,"FAKE_PANEL",132,
tokyo-nerima-free-park-muryou,P1,false,"FAKE_FIELDWORK",125,
tokyo-park-ranking-mom50-vote,P2,false,"FAKE_PANEL",230,
tokyo-rainy-strong-station-data,P3,false,"DOKUJI_UNSOURCED",123,
tokyo-setagaya-weekend-family,P1,false,"FAKE_FIELDWORK",126,
tokyo-shibuya-kodzure-lunch,P3,false,"DOKUJI_UNSOURCED",279,
tokyo-shimokita-koenji-asagaya-comparison,P3,false,"DOKUJI_UNSOURCED",117,
tokyo-shinagawa-kodzure-lunch,P3,false,"DOKUJI_UNSOURCED",272,
tokyo-shinagawa-ooimachi-weekend,P3,false,"DOKUJI_UNSOURCED",141,
tokyo-shineibun-kodomo-museum,P3,false,"DOKUJI_UNSOURCED",215,
tokyo-shinjuku-kodzure-lunch,P3,false,"DOKUJI_UNSOURCED",164,
tokyo-station-kodzure-lunch,P3,false,"DOKUJI_UNSOURCED",287,
tokyo-station-kodzure-shop-density-top20-2026,P3,false,"DOKUJI_UNSOURCED",116,
tokyo-station-private-room-ranking,P3,false,"DOKUJI_UNSOURCED",119,
tokyo-suginami-stroller-lunch,P3,false,"DOKUJI_UNSOURCED",146,
tokyo-terminal-vs-residence-kodzure,P3,false,"DOKUJI_UNSOURCED",122,
tokyo-toshima-ikebukuro-rain,P1,false,"FAKE_FIELDWORK",146,
tokyo-ueno-kodzure-lunch,P3,false,"DOKUJI_UNSOURCED",263,
tsukurioki-5pun-recipes-10,P2,false,"FAKE_PANEL",381,
tsuushin-kyouzai-hikaku,P3,true,"FAKE_PANEL",239,
tsuyu-0-1sai-sugoshikata,P2,false,"FAKE_PANEL",109,
tsuyu-4-6sai-shitsunai-asobi-10,P2,false,"FAKE_PANEL",104,
undoukai-jitan-bento-3sai,P3,true,"FAKE_PANEL",272,
undoukai-motimono-list,P2,false,"FAKE_PANEL",260,
undoukai-obento-jitan-recipe,P3,true,"DOKUJI_UNSOURCED",285,
veloce-kodzure-koryaku,P3,true,"DOKUJI_UNSOURCED",237,
wanope-yoru-kirinukekata,P3,true,"FAKE_PANEL",368,
xmas-market-kodzure,P3,false,"DOKUJI_UNSOURCED",169,
xmas-present-nenrei-0-6,P3,true,"FAKE_PANEL",191,
yasai-tabenai-3sai-taisaku,P2,false,"FAKE_PANEL",355,
yobou-sesshu-schedule-0-6sai,P3,true,"FAKE_PANEL",141,
yojishoku-reitou-tsukurioki,P2,false,"FAKE_PANEL",231,
yonaki-taisaku-0-1sai,P3,true,"FAKE_PANEL",295,
youchien-hoikuen-junbi-rakuten,P2,false,"FAKE_PANEL",320,
youchien-nyuuen-junbi-list,P3,true,"FAKE_PANEL",256,
youji-naraigoto-nansai-kara,P3,true,"FAKE_PANEL",190,
youjishoku-kanryouki-1week-rota,P2,false,"FAKE_PANEL",273,
youtube-kawari-ie-asobi,P3,true,"FAKE_PANEL",388,
yuuhan-dinner-15pun-10recipes,P2,false,"FAKE_PANEL",342,
