chain_key	chain_name	koryaku_slug	official_url	facility_key	facility_label	article_hint	value	note	source_url
anrakutei	安楽亭	anrakutei-kodzure-koryaku	https://anrakutei.jp/	zashiki	座敷席	記事に記述あり			
anrakutei	安楽亭	anrakutei-kodzure-koryaku	https://anrakutei.jp/	boxSeat	ボックス席	記事に記述あり			
anrakutei	安楽亭	anrakutei-kodzure-koryaku	https://anrakutei.jp/	kidsChair	キッズチェア	記事に記述あり			
anrakutei	安楽亭	anrakutei-kodzure-koryaku	https://anrakutei.jp/	kidsMenu	キッズメニュー	記事に記述あり	yes	小学生以下のお子様限定メニュー	https://anrakutei.jp/menucate/kidsmenu/
anrakutei	安楽亭	anrakutei-kodzure-koryaku	https://anrakutei.jp/	kidsCutlery	子供用カトラリー	記事に記述あり			
anrakutei	安楽亭	anrakutei-kodzure-koryaku	https://anrakutei.jp/	diaperTable	おむつ替え台	記事に記述あり	partial	店舗による（公式店舗検索でおむつ交換台表示は129店中45店）	https://anrakutei.jp/map/result/
anrakutei	安楽亭	anrakutei-kodzure-koryaku	https://anrakutei.jp/	nursingRoom	授乳室	記事に記述あり			
anrakutei	安楽亭	anrakutei-kodzure-koryaku	https://anrakutei.jp/	babyFoodBringIn	離乳食持ち込み	記事に記述あり			
anrakutei	安楽亭	anrakutei-kodzure-koryaku	https://anrakutei.jp/	toriwake	取り分けOK	記事に記述あり			
anrakutei	安楽亭	anrakutei-kodzure-koryaku	https://anrakutei.jp/	strollerToSeat	ベビーカーで席まで	記事に記述あり			
anrakutei	安楽亭	anrakutei-kodzure-koryaku	https://anrakutei.jp/	allergenInfo	アレルゲン表示	記事に記述あり	yes	アレルゲン・栄養成分一覧表	https://anrakutei.jp/allergy/
bandotaro	ばんどう太郎	bandotaro-kodzure-koryaku	http://bandotaro.co.jp/	stepFree	入口の段差なし	記事に記述あり			
bandotaro	ばんどう太郎	bandotaro-kodzure-koryaku	http://bandotaro.co.jp/	zashiki	座敷席	記事に記述あり	partial	店舗による（公式店舗検索で「座敷」表示は44店中42店）	https://shop.bandotaro.co.jp/
bandotaro	ばんどう太郎	bandotaro-kodzure-koryaku	http://bandotaro.co.jp/	boxSeat	ボックス席				
bandotaro	ばんどう太郎	bandotaro-kodzure-koryaku	http://bandotaro.co.jp/	kidsChair	キッズチェア	記事に記述あり	yes	公式店舗検索の設備表示で全44店に「お子様椅子」	https://shop.bandotaro.co.jp/
bandotaro	ばんどう太郎	bandotaro-kodzure-koryaku	http://bandotaro.co.jp/	kidsMenu	キッズメニュー	記事に記述あり	yes	公式店舗検索の設備表示で全44店に「お子様メニュー」	https://shop.bandotaro.co.jp/
bandotaro	ばんどう太郎	bandotaro-kodzure-koryaku	http://bandotaro.co.jp/	kidsCutlery	子供用カトラリー	記事に記述あり			
bandotaro	ばんどう太郎	bandotaro-kodzure-koryaku	http://bandotaro.co.jp/	diaperTable	おむつ替え台	記事に記述あり	partial	店舗による（公式店舗検索で「オムツ替えシート」表示は44店中41店）	https://shop.bandotaro.co.jp/
bandotaro	ばんどう太郎	bandotaro-kodzure-koryaku	http://bandotaro.co.jp/	nursingRoom	授乳室	記事に記述あり			
bandotaro	ばんどう太郎	bandotaro-kodzure-koryaku	http://bandotaro.co.jp/	babyFoodBringIn	離乳食持ち込み	記事に記述あり			
bandotaro	ばんどう太郎	bandotaro-kodzure-koryaku	http://bandotaro.co.jp/	toriwake	取り分けOK	記事に記述あり			
bandotaro	ばんどう太郎	bandotaro-kodzure-koryaku	http://bandotaro.co.jp/	strollerToSeat	ベビーカーで席まで	記事に記述あり			
bandotaro	ばんどう太郎	bandotaro-kodzure-koryaku	http://bandotaro.co.jp/	allergenInfo	アレルゲン表示		yes	特定原材料28品目をメニューごとに調査した一覧	http://bandotaro.co.jp/allergie/
choushimaru	すし銚子丸	choushimaru-kodzure-koryaku	https://www.choushimaru.co.jp/	stepFree	入口の段差なし	記事に記述あり	partial	店舗による（公式店舗ページでスロープ表示は92店中45店）	https://stores.choushimaru.co.jp/
choushimaru	すし銚子丸	choushimaru-kodzure-koryaku	https://www.choushimaru.co.jp/	zashiki	座敷席	記事に記述あり			
choushimaru	すし銚子丸	choushimaru-kodzure-koryaku	https://www.choushimaru.co.jp/	boxSeat	ボックス席	記事に記述あり	partial	一部店舗のみ（佐倉店の公式店舗ページにファミリーシート（BOX席）表示）	https://stores.choushimaru.co.jp/138
choushimaru	すし銚子丸	choushimaru-kodzure-koryaku	https://www.choushimaru.co.jp/	kidsChair	キッズチェア	記事に記述あり			
choushimaru	すし銚子丸	choushimaru-kodzure-koryaku	https://www.choushimaru.co.jp/	kidsMenu	キッズメニュー	記事に記述あり	yes	カロリー・アレルゲン一覧表にキッズ5カンにぎり・おこさまセットを掲載	https://www.choushimaru.co.jp/pdf/cho_calorie.pdf
choushimaru	すし銚子丸	choushimaru-kodzure-koryaku	https://www.choushimaru.co.jp/	kidsCutlery	子供用カトラリー	記事に記述あり			
choushimaru	すし銚子丸	choushimaru-kodzure-koryaku	https://www.choushimaru.co.jp/	diaperTable	おむつ替え台	記事に記述あり			
choushimaru	すし銚子丸	choushimaru-kodzure-koryaku	https://www.choushimaru.co.jp/	nursingRoom	授乳室	記事に記述あり			
choushimaru	すし銚子丸	choushimaru-kodzure-koryaku	https://www.choushimaru.co.jp/	babyFoodBringIn	離乳食持ち込み	記事に記述あり			
choushimaru	すし銚子丸	choushimaru-kodzure-koryaku	https://www.choushimaru.co.jp/	toriwake	取り分けOK	記事に記述あり			
choushimaru	すし銚子丸	choushimaru-kodzure-koryaku	https://www.choushimaru.co.jp/	strollerToSeat	ベビーカーで席まで	記事に記述あり			
choushimaru	すし銚子丸	choushimaru-kodzure-koryaku	https://www.choushimaru.co.jp/	allergenInfo	アレルゲン表示		yes	カロリー・アレルゲン一覧表（28品目・PDF）	https://www.choushimaru.co.jp/pdf/cho_calorie.pdf
doutor	ドトールコーヒーショップ	doutor-kodzure-koryaku	https://www.doutor.co.jp/dcs/	stepFree	入口の段差なし	記事に記述あり			
doutor	ドトールコーヒーショップ	doutor-kodzure-koryaku	https://www.doutor.co.jp/dcs/	zashiki	座敷席				
doutor	ドトールコーヒーショップ	doutor-kodzure-koryaku	https://www.doutor.co.jp/dcs/	boxSeat	ボックス席				
doutor	ドトールコーヒーショップ	doutor-kodzure-koryaku	https://www.doutor.co.jp/dcs/	kidsChair	キッズチェア				
doutor	ドトールコーヒーショップ	doutor-kodzure-koryaku	https://www.doutor.co.jp/dcs/	kidsMenu	キッズメニュー	記事に記述あり			
doutor	ドトールコーヒーショップ	doutor-kodzure-koryaku	https://www.doutor.co.jp/dcs/	kidsCutlery	子供用カトラリー				
doutor	ドトールコーヒーショップ	doutor-kodzure-koryaku	https://www.doutor.co.jp/dcs/	diaperTable	おむつ替え台	記事に記述あり			
doutor	ドトールコーヒーショップ	doutor-kodzure-koryaku	https://www.doutor.co.jp/dcs/	nursingRoom	授乳室	記事に記述あり			
doutor	ドトールコーヒーショップ	doutor-kodzure-koryaku	https://www.doutor.co.jp/dcs/	babyFoodBringIn	離乳食持ち込み	記事に記述あり			
doutor	ドトールコーヒーショップ	doutor-kodzure-koryaku	https://www.doutor.co.jp/dcs/	toriwake	取り分けOK	記事に記述あり			
doutor	ドトールコーヒーショップ	doutor-kodzure-koryaku	https://www.doutor.co.jp/dcs/	strollerToSeat	ベビーカーで席まで	記事に記述あり			
doutor	ドトールコーヒーショップ	doutor-kodzure-koryaku	https://www.doutor.co.jp/dcs/	allergenInfo	アレルゲン表示	記事に記述あり	yes	アレルギー情報・栄養成分情報検索サイト	https://allergy.doutor.co.jp/
flyinggarden	フライングガーデン	flying-garden-kodzure-koryaku	https://www.fgarden.co.jp/	stepFree	入口の段差なし	記事に記述あり	partial	店舗による（公式店舗案内でスロープ/段差なし表示は55店中54店）	https://www.fgarden.co.jp/restaurant/index.php
flyinggarden	フライングガーデン	flying-garden-kodzure-koryaku	https://www.fgarden.co.jp/	zashiki	座敷席	記事に記述あり			
flyinggarden	フライングガーデン	flying-garden-kodzure-koryaku	https://www.fgarden.co.jp/	boxSeat	ボックス席	記事に記述あり			
flyinggarden	フライングガーデン	flying-garden-kodzure-koryaku	https://www.fgarden.co.jp/	kidsChair	キッズチェア	記事に記述あり			
flyinggarden	フライングガーデン	flying-garden-kodzure-koryaku	https://www.fgarden.co.jp/	kidsMenu	キッズメニュー	記事に記述あり	yes	メニューページにキッズメニュー（PDF）を掲載	https://www.fgarden.co.jp/menu/index.php
flyinggarden	フライングガーデン	flying-garden-kodzure-koryaku	https://www.fgarden.co.jp/	kidsCutlery	子供用カトラリー	記事に記述あり			
flyinggarden	フライングガーデン	flying-garden-kodzure-koryaku	https://www.fgarden.co.jp/	diaperTable	おむつ替え台	記事に記述あり	yes	公式店舗案内で全55店におむつ交換ベッド表示（女性用トイレ内）	https://www.fgarden.co.jp/restaurant/index.php
flyinggarden	フライングガーデン	flying-garden-kodzure-koryaku	https://www.fgarden.co.jp/	nursingRoom	授乳室	記事に記述あり			
flyinggarden	フライングガーデン	flying-garden-kodzure-koryaku	https://www.fgarden.co.jp/	babyFoodBringIn	離乳食持ち込み	記事に記述あり			
flyinggarden	フライングガーデン	flying-garden-kodzure-koryaku	https://www.fgarden.co.jp/	toriwake	取り分けOK	記事に記述あり			
flyinggarden	フライングガーデン	flying-garden-kodzure-koryaku	https://www.fgarden.co.jp/	strollerToSeat	ベビーカーで席まで	記事に記述あり			
flyinggarden	フライングガーデン	flying-garden-kodzure-koryaku	https://www.fgarden.co.jp/	allergenInfo	アレルゲン表示	記事に記述あり	yes	メニューページにアレルゲン一覧（PDF）を掲載	https://www.fgarden.co.jp/menu/index.php
gattensushi	がってん寿司	gatten-sushi-kodzure-koryaku	https://www.rdcgroup.co.jp/gattenbrand/gatten/	stepFree	入口の段差なし	記事に記述あり			
gattensushi	がってん寿司	gatten-sushi-kodzure-koryaku	https://www.rdcgroup.co.jp/gattenbrand/gatten/	zashiki	座敷席	記事に記述あり			
gattensushi	がってん寿司	gatten-sushi-kodzure-koryaku	https://www.rdcgroup.co.jp/gattenbrand/gatten/	boxSeat	ボックス席	記事に記述あり			
gattensushi	がってん寿司	gatten-sushi-kodzure-koryaku	https://www.rdcgroup.co.jp/gattenbrand/gatten/	kidsChair	キッズチェア	記事に記述あり			
gattensushi	がってん寿司	gatten-sushi-kodzure-koryaku	https://www.rdcgroup.co.jp/gattenbrand/gatten/	kidsMenu	キッズメニュー	記事に記述あり			
gattensushi	がってん寿司	gatten-sushi-kodzure-koryaku	https://www.rdcgroup.co.jp/gattenbrand/gatten/	kidsCutlery	子供用カトラリー				
gattensushi	がってん寿司	gatten-sushi-kodzure-koryaku	https://www.rdcgroup.co.jp/gattenbrand/gatten/	diaperTable	おむつ替え台	記事に記述あり			
gattensushi	がってん寿司	gatten-sushi-kodzure-koryaku	https://www.rdcgroup.co.jp/gattenbrand/gatten/	nursingRoom	授乳室	記事に記述あり			
gattensushi	がってん寿司	gatten-sushi-kodzure-koryaku	https://www.rdcgroup.co.jp/gattenbrand/gatten/	babyFoodBringIn	離乳食持ち込み	記事に記述あり			
gattensushi	がってん寿司	gatten-sushi-kodzure-koryaku	https://www.rdcgroup.co.jp/gattenbrand/gatten/	toriwake	取り分けOK	記事に記述あり			
gattensushi	がってん寿司	gatten-sushi-kodzure-koryaku	https://www.rdcgroup.co.jp/gattenbrand/gatten/	strollerToSeat	ベビーカーで席まで	記事に記述あり			
gattensushi	がってん寿司	gatten-sushi-kodzure-koryaku	https://www.rdcgroup.co.jp/gattenbrand/gatten/	allergenInfo	アレルゲン表示				
hanayayohei	華屋与兵衛	hanaya-yohei-kodzure-koryaku	https://www.hanayayohei.co.jp/	stepFree	入口の段差なし		partial	店舗による（公式店舗検索で「スロープ／エレベーター あり」は33店中3店）	https://maps.hanayayohei.co.jp/jp/index.html
hanayayohei	華屋与兵衛	hanaya-yohei-kodzure-koryaku	https://www.hanayayohei.co.jp/	zashiki	座敷席	記事に記述あり	yes	公式FAQ「お座敷はございます。ご予約いただく事も可能です。」	https://www.hanayayohei.co.jp/faq/
hanayayohei	華屋与兵衛	hanaya-yohei-kodzure-koryaku	https://www.hanayayohei.co.jp/	boxSeat	ボックス席				
hanayayohei	華屋与兵衛	hanaya-yohei-kodzure-koryaku	https://www.hanayayohei.co.jp/	kidsChair	キッズチェア	記事に記述あり			
hanayayohei	華屋与兵衛	hanaya-yohei-kodzure-koryaku	https://www.hanayayohei.co.jp/	kidsMenu	キッズメニュー		yes		https://www.hanayayohei.co.jp/menu_hanaya/okosama.html
hanayayohei	華屋与兵衛	hanaya-yohei-kodzure-koryaku	https://www.hanayayohei.co.jp/	kidsCutlery	子供用カトラリー				
hanayayohei	華屋与兵衛	hanaya-yohei-kodzure-koryaku	https://www.hanayayohei.co.jp/	diaperTable	おむつ替え台	記事に記述あり			
hanayayohei	華屋与兵衛	hanaya-yohei-kodzure-koryaku	https://www.hanayayohei.co.jp/	nursingRoom	授乳室	記事に記述あり			
hanayayohei	華屋与兵衛	hanaya-yohei-kodzure-koryaku	https://www.hanayayohei.co.jp/	babyFoodBringIn	離乳食持ち込み	記事に記述あり			
hanayayohei	華屋与兵衛	hanaya-yohei-kodzure-koryaku	https://www.hanayayohei.co.jp/	toriwake	取り分けOK	記事に記述あり			
hanayayohei	華屋与兵衛	hanaya-yohei-kodzure-koryaku	https://www.hanayayohei.co.jp/	strollerToSeat	ベビーカーで席まで	記事に記述あり			
hanayayohei	華屋与兵衛	hanaya-yohei-kodzure-koryaku	https://www.hanayayohei.co.jp/	allergenInfo	アレルゲン表示	記事に記述あり	yes	メニューごとのアレルゲン28品目一覧	https://www.hanayayohei.co.jp/allergen/
hidakaya	日高屋	hidakaya-kodzure-koryaku	https://hidakaya.hiday.co.jp/	stepFree	入口の段差なし				
hidakaya	日高屋	hidakaya-kodzure-koryaku	https://hidakaya.hiday.co.jp/	zashiki	座敷席	記事に記述あり			
hidakaya	日高屋	hidakaya-kodzure-koryaku	https://hidakaya.hiday.co.jp/	boxSeat	ボックス席				
hidakaya	日高屋	hidakaya-kodzure-koryaku	https://hidakaya.hiday.co.jp/	kidsChair	キッズチェア	記事に記述あり			
hidakaya	日高屋	hidakaya-kodzure-koryaku	https://hidakaya.hiday.co.jp/	kidsMenu	キッズメニュー	記事に記述あり	partial	一部店舗のみ（お子さまセット【店舗限定】・12歳以下）	https://hidakaya.hiday.co.jp/hits/ja/menu/1/detail/139.html
hidakaya	日高屋	hidakaya-kodzure-koryaku	https://hidakaya.hiday.co.jp/	kidsCutlery	子供用カトラリー	記事に記述あり			
hidakaya	日高屋	hidakaya-kodzure-koryaku	https://hidakaya.hiday.co.jp/	diaperTable	おむつ替え台	記事に記述あり			
hidakaya	日高屋	hidakaya-kodzure-koryaku	https://hidakaya.hiday.co.jp/	nursingRoom	授乳室	記事に記述あり			
hidakaya	日高屋	hidakaya-kodzure-koryaku	https://hidakaya.hiday.co.jp/	babyFoodBringIn	離乳食持ち込み	記事に記述あり			
hidakaya	日高屋	hidakaya-kodzure-koryaku	https://hidakaya.hiday.co.jp/	toriwake	取り分けOK	記事に記述あり			
hidakaya	日高屋	hidakaya-kodzure-koryaku	https://hidakaya.hiday.co.jp/	strollerToSeat	ベビーカーで席まで	記事に記述あり			
hidakaya	日高屋	hidakaya-kodzure-koryaku	https://hidakaya.hiday.co.jp/	allergenInfo	アレルゲン表示	記事に記述あり	yes		https://hidakaya.hiday.co.jp/hits/ja/menu/allergy.html
hottomotto	ほっともっと	hottomotto-kodzure-koryaku	https://www.hottomotto.com/	stepFree	入口の段差なし				
hottomotto	ほっともっと	hottomotto-kodzure-koryaku	https://www.hottomotto.com/	zashiki	座敷席				
hottomotto	ほっともっと	hottomotto-kodzure-koryaku	https://www.hottomotto.com/	boxSeat	ボックス席				
hottomotto	ほっともっと	hottomotto-kodzure-koryaku	https://www.hottomotto.com/	kidsChair	キッズチェア				
hottomotto	ほっともっと	hottomotto-kodzure-koryaku	https://www.hottomotto.com/	kidsMenu	キッズメニュー	記事に記述あり			
hottomotto	ほっともっと	hottomotto-kodzure-koryaku	https://www.hottomotto.com/	kidsCutlery	子供用カトラリー	記事に記述あり			
hottomotto	ほっともっと	hottomotto-kodzure-koryaku	https://www.hottomotto.com/	diaperTable	おむつ替え台				
hottomotto	ほっともっと	hottomotto-kodzure-koryaku	https://www.hottomotto.com/	nursingRoom	授乳室	記事に記述あり			
hottomotto	ほっともっと	hottomotto-kodzure-koryaku	https://www.hottomotto.com/	babyFoodBringIn	離乳食持ち込み	記事に記述あり			
hottomotto	ほっともっと	hottomotto-kodzure-koryaku	https://www.hottomotto.com/	toriwake	取り分けOK	記事に記述あり			
hottomotto	ほっともっと	hottomotto-kodzure-koryaku	https://www.hottomotto.com/	strollerToSeat	ベビーカーで席まで	記事に記述あり			
hottomotto	ほっともっと	hottomotto-kodzure-koryaku	https://www.hottomotto.com/	allergenInfo	アレルゲン表示	記事に記述あり	yes	各メニューページでアレルギー・原産国・栄養成分を確認できる（公式FAQ）	https://www.hottomotto.com/qa/
ichiran	一蘭	ichiran-kodzure-koryaku	https://ichiran.com/	stepFree	入口の段差なし				
ichiran	一蘭	ichiran-kodzure-koryaku	https://ichiran.com/	zashiki	座敷席	記事に記述あり			
ichiran	一蘭	ichiran-kodzure-koryaku	https://ichiran.com/	boxSeat	ボックス席				
ichiran	一蘭	ichiran-kodzure-koryaku	https://ichiran.com/	kidsChair	キッズチェア	記事に記述あり	partial	ほとんどの店舗で用意（公式「お子様用の食器や椅子もほとんどの店舗でご用意」）	https://ichiran.com/app/okosama.html
ichiran	一蘭	ichiran-kodzure-koryaku	https://ichiran.com/	kidsMenu	キッズメニュー	記事に記述あり	partial	お子様ラーメンは一蘭公式アプリ会員限定・小学6年生まで無料。一部店舗は対象外	https://ichiran.com/app/okosama.html
ichiran	一蘭	ichiran-kodzure-koryaku	https://ichiran.com/	kidsCutlery	子供用カトラリー	記事に記述あり	partial	ほとんどの店舗で用意（公式「お子様用の食器や椅子もほとんどの店舗でご用意」）	https://ichiran.com/app/okosama.html
ichiran	一蘭	ichiran-kodzure-koryaku	https://ichiran.com/	diaperTable	おむつ替え台	記事に記述あり			
ichiran	一蘭	ichiran-kodzure-koryaku	https://ichiran.com/	nursingRoom	授乳室	記事に記述あり			
ichiran	一蘭	ichiran-kodzure-koryaku	https://ichiran.com/	babyFoodBringIn	離乳食持ち込み				
ichiran	一蘭	ichiran-kodzure-koryaku	https://ichiran.com/	toriwake	取り分けOK	記事に記述あり			
ichiran	一蘭	ichiran-kodzure-koryaku	https://ichiran.com/	strollerToSeat	ベビーカーで席まで	記事に記述あり			
ichiran	一蘭	ichiran-kodzure-koryaku	https://ichiran.com/	allergenInfo	アレルゲン表示	記事に記述あり	yes	特定原材料8品目ほか	https://ichiran.com/ramen/allergie.html
kagonoya	かごの屋	kagonoya-kodzure-koryaku	https://kagonoya.food-kr.com/	stepFree	入口の段差なし	記事に記述あり	partial	店舗による（公式店舗ページの設備欄に「バリアフリー」表示がある店舗は一部）	https://kagonoya.food-kr.com/0575/
kagonoya	かごの屋	kagonoya-kodzure-koryaku	https://kagonoya.food-kr.com/	zashiki	座敷席	記事に記述あり	partial	公式「掘りごたつ風のテーブル席や、椅子タイプのお座敷など」。床に座る座敷とは限らない・店舗による	https://kagonoya.food-kr.com/about/
kagonoya	かごの屋	kagonoya-kodzure-koryaku	https://kagonoya.food-kr.com/	boxSeat	ボックス席				
kagonoya	かごの屋	kagonoya-kodzure-koryaku	https://kagonoya.food-kr.com/	kidsChair	キッズチェア	記事に記述あり			
kagonoya	かごの屋	kagonoya-kodzure-koryaku	https://kagonoya.food-kr.com/	kidsMenu	キッズメニュー	記事に記述あり	yes	お子さまメニュー（小学生以下限定のセットあり）。公式店舗ページでも「お子様メニューあり」	https://kagonoya.food-kr.com/wp-content/uploads/2026/06/20260701_child.pdf
kagonoya	かごの屋	kagonoya-kodzure-koryaku	https://kagonoya.food-kr.com/	kidsCutlery	子供用カトラリー	記事に記述あり			
kagonoya	かごの屋	kagonoya-kodzure-koryaku	https://kagonoya.food-kr.com/	diaperTable	おむつ替え台	記事に記述あり			
kagonoya	かごの屋	kagonoya-kodzure-koryaku	https://kagonoya.food-kr.com/	nursingRoom	授乳室	記事に記述あり			
kagonoya	かごの屋	kagonoya-kodzure-koryaku	https://kagonoya.food-kr.com/	babyFoodBringIn	離乳食持ち込み	記事に記述あり			
kagonoya	かごの屋	kagonoya-kodzure-koryaku	https://kagonoya.food-kr.com/	toriwake	取り分けOK	記事に記述あり			
kagonoya	かごの屋	kagonoya-kodzure-koryaku	https://kagonoya.food-kr.com/	strollerToSeat	ベビーカーで席まで	記事に記述あり			
kagonoya	かごの屋	kagonoya-kodzure-koryaku	https://kagonoya.food-kr.com/	allergenInfo	アレルゲン表示	記事に記述あり	yes	特定原材料9品目	https://kagonoya.food-kr.com/menu/e-kizon_calorieallergy/
kushikatsutanaka	串カツ田中	kushikatsu-tanaka-kodzure-koryaku	https://kushi-tanaka.com/	stepFree	入口の段差なし				
kushikatsutanaka	串カツ田中	kushikatsu-tanaka-kodzure-koryaku	https://kushi-tanaka.com/	zashiki	座敷席	記事に記述あり	partial	一部店舗のみ（公式FAQ「一部店舗には…座敷のお席がございます」・店舗ページの席タイプ表示）	https://kushi-tanaka.com/contact/
kushikatsutanaka	串カツ田中	kushikatsu-tanaka-kodzure-koryaku	https://kushi-tanaka.com/	boxSeat	ボックス席		partial	一部店舗のみ（公式FAQ「一部店舗には仕切りがある半個室のボックス席」）	https://kushi-tanaka.com/contact/
kushikatsutanaka	串カツ田中	kushikatsu-tanaka-kodzure-koryaku	https://kushi-tanaka.com/	kidsChair	キッズチェア	記事に記述あり	partial	店舗による（公式店舗検索の提供サービス「子供用イス」表示）	https://restaurant.kushi-tanaka.com/
kushikatsutanaka	串カツ田中	kushikatsu-tanaka-kodzure-koryaku	https://kushi-tanaka.com/	kidsMenu	キッズメニュー	記事に記述あり			
kushikatsutanaka	串カツ田中	kushikatsu-tanaka-kodzure-koryaku	https://kushi-tanaka.com/	kidsCutlery	子供用カトラリー	記事に記述あり			
kushikatsutanaka	串カツ田中	kushikatsu-tanaka-kodzure-koryaku	https://kushi-tanaka.com/	diaperTable	おむつ替え台				
kushikatsutanaka	串カツ田中	kushikatsu-tanaka-kodzure-koryaku	https://kushi-tanaka.com/	nursingRoom	授乳室				
kushikatsutanaka	串カツ田中	kushikatsu-tanaka-kodzure-koryaku	https://kushi-tanaka.com/	babyFoodBringIn	離乳食持ち込み	記事に記述あり			
kushikatsutanaka	串カツ田中	kushikatsu-tanaka-kodzure-koryaku	https://kushi-tanaka.com/	toriwake	取り分けOK				
kushikatsutanaka	串カツ田中	kushikatsu-tanaka-kodzure-koryaku	https://kushi-tanaka.com/	strollerToSeat	ベビーカーで席まで	記事に記述あり			
kushikatsutanaka	串カツ田中	kushikatsu-tanaka-kodzure-koryaku	https://kushi-tanaka.com/	allergenInfo	アレルゲン表示		yes	メニューページ・店頭でアレルギー一覧表を確認できる（公式FAQ）	https://kushi-tanaka.com/menu/
marugenramen	丸源ラーメン	marugen-ramen-kodzure-koryaku	https://www.syodai-marugen.jp/	stepFree	入口の段差なし	記事に記述あり			
marugenramen	丸源ラーメン	marugen-ramen-kodzure-koryaku	https://www.syodai-marugen.jp/	zashiki	座敷席	記事に記述あり	partial	一部店舗を除く（公式「お座敷席（一部店舗を除く）」）	https://www.syodai-marugen.jp/about
